	Kingdom	Phylum	Class	Order	Family	Genus	Species	ASV_id	ASV_id	taxa_name
ASV577	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	g__Lachnum	s__virgineum	[577]	ASV577	g_Lachnum s  virgineum [577]
ASV578	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	g__Phialea	Unknown	[578]	ASV578	g_Phialea [578]
ASV579	k__Fungi	p__Ascomycota	c__Archaeorhizomycetes	Unknown	Unknown	Unknown	Unknown	[579]	ASV579	c_Archaeorhizomycetes [579]
ASV580	k__Fungi	p__Ascomycota	c__Archaeorhizomycetes	o__Archaeorhizomycetales	f__Archaeorhizomycetaceae	g__Archaeorhizomyces	Unknown	[580]	ASV580	g_Archaeorhizomyces [580]
ASV581	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	g__Hyaloscypha	s__bicolor	[581]	ASV581	g_Hyaloscypha s  bicolor [581]
ASV582	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	Unknown	[582]	ASV582	g_Penicillium [582]
ASV583	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Sporormiaceae	g__Preussia	Unknown	[583]	ASV583	g_Preussia [583]
ASV584	k__Fungi	p__Rozellomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[584]	ASV584	p_Rozellomycota [584]
ASV585	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	Unknown	Unknown	Unknown	[585]	ASV585	o_Helotiales [585]
ASV586	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Massarinaceae	g__Stagonospora	s__paludosa	[586]	ASV586	g_Stagonospora s  paludosa [586]
ASV587	k__Fungi	p__Glomeromycota	Unknown	Unknown	Unknown	Unknown	Unknown	[587]	ASV587	p_Glomeromycota [587]
ASV588	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Myxotrichaceae	g__Oidiodendron	Unknown	[588]	ASV588	g_Oidiodendron [588]
ASV589	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Exophiala	s__moniliae	[589]	ASV589	g_Exophiala s  moniliae [589]
ASV590	k__Fungi	p__Basidiomycota	c__Tritirachiomycetes	o__Tritirachiales	f__Tritirachiaceae	g__Paratritirachium	Unknown	[590]	ASV590	g_Paratritirachium [590]
ASV591	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Dothideales	f__Aureobasidiaceae	Unknown	Unknown	[591]	ASV591	f_Aureobasidiaceae [591]
ASV592	k__Fungi	p__Rozellomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[592]	ASV592	p_Rozellomycota [592]
ASV593	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Trechisporales	f__Hydnodontaceae	g__Trechispora	s__stevensonii	[593]	ASV593	g_Trechispora s  stevensonii [593]
ASV594	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	g__Pezizella	Unknown	[594]	ASV594	g_Pezizella [594]
ASV595	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Clavariaceae	Unknown	Unknown	[595]	ASV595	f_Clavariaceae [595]
ASV596	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Cladophialophora	s__minutissima	[596]	ASV596	g_Cladophialophora s  minutissima [596]
ASV597	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Clavicipitaceae	g__Metarhizium	s__carneum	[597]	ASV597	g_Metarhizium s  carneum [597]
ASV598	k__Fungi	p__Ascomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[598]	ASV598	p_Ascomycota [598]
ASV599	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Leotiaceae	g__Flagellospora	Unknown	[599]	ASV599	g_Flagellospora [599]
ASV600	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Atheliales	f__Pilodermataceae	g__Piloderma	s__sphaerosporum	[600]	ASV600	g_Piloderma s  sphaerosporum [600]
ASV601	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	g__Hyaloscypha	s__bicolor	[601]	ASV601	g_Hyaloscypha s  bicolor [601]
ASV602	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	Unknown	Unknown	Unknown	[602]	ASV602	o_Helotiales [602]
ASV603	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Clavariaceae	Unknown	Unknown	[603]	ASV603	f_Clavariaceae [603]
ASV604	k__Fungi	p__Rozellomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[604]	ASV604	p_Rozellomycota [604]
ASV605	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Meliniomyces	Unknown	[605]	ASV605	g_Meliniomyces [605]
ASV606	k__Fungi	p__Ascomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[606]	ASV606	p_Ascomycota [606]
ASV607	k__Fungi	p__Basidiomycota	c__Cystobasidiomycetes	Unknown	Unknown	Unknown	Unknown	[607]	ASV607	c_Cystobasidiomycetes [607]
ASV608	k__Fungi	p__Ascomycota	c__Archaeorhizomycetes	o__Archaeorhizomycetales	f__Archaeorhizomycetaceae	g__Archaeorhizomyces	Unknown	[608]	ASV608	g_Archaeorhizomyces [608]
ASV609	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Dermateaceae	Unknown	Unknown	[609]	ASV609	f_Dermateaceae [609]
ASV610	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	Unknown	Unknown	Unknown	[610]	ASV610	o_Hypocreales [610]
ASV611	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	g__Lachnum	s__virgineum	[611]	ASV611	g_Lachnum s  virgineum [611]
ASV612	k__Fungi	p__Rozellomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[612]	ASV612	p_Rozellomycota [612]
ASV613	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreales_fam_Incertae_sedis	g__Chlamydocillium	s__cyanophilum	[613]	ASV613	g_Chlamydocillium s  cyanophilum [613]
ASV614	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Cantharellales	f__Cantharellales_fam_Incertae_sedis	g__Sistotrema	Unknown	[614]	ASV614	g_Sistotrema [614]
ASV615	k__Fungi	p__Rozellomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[615]	ASV615	p_Rozellomycota [615]
ASV616	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__echinula	[616]	ASV616	g_Mortierella s  echinula [616]
ASV617	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Amanitaceae	g__Amanita	s__regalis	[617]	ASV617	g_Amanita s  regalis [617]
ASV618	k__Fungi	p__Basidiomycota	c__Tremellomycetes	Unknown	Unknown	Unknown	Unknown	[618]	ASV618	c_Tremellomycetes [618]
ASV619	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Myrmecridiales	f__Myrmecridiales_fam_Incertae_sedis	g__Atractospora	s__verruculosa	[619]	ASV619	g_Atractospora s  verruculosa [619]
ASV620	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	Unknown	Unknown	Unknown	[620]	ASV620	o_Helotiales [620]
ASV621	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Phacidiales	f__Phacidiaceae	g__Gremmenia	s__infestans	[621]	ASV621	g_Gremmenia s  infestans [621]
ASV622	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Leucosporidiales	Unknown	Unknown	Unknown	[622]	ASV622	o_Leucosporidiales [622]
ASV623	k__Fungi	p__Rozellomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[623]	ASV623	p_Rozellomycota [623]
ASV624	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Cyathicula	Unknown	[624]	ASV624	g_Cyathicula [624]
ASV625	k__Fungi	p__Ascomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[625]	ASV625	p_Ascomycota [625]
ASV626	k__Fungi	p__Glomeromycota	c__Archaeosporomycetes	o__Archaeosporales	Unknown	Unknown	Unknown	[626]	ASV626	o_Archaeosporales [626]
ASV627	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	g__Phialea	Unknown	[627]	ASV627	g_Phialea [627]
ASV628	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	g__Hyaloscypha	s__variabilis	[628]	ASV628	g_Hyaloscypha s  variabilis [628]
ASV629	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleribasidiaceae	g__Vishniacozyma	s__victoriae	[629]	ASV629	g_Vishniacozyma s  victoriae [629]
ASV630	k__Fungi	p__Ascomycota	c__Sordariomycetes	Unknown	Unknown	Unknown	Unknown	[630]	ASV630	c_Sordariomycetes [630]
ASV631	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Chaetosphaeriales	f__Chaetosphaeriaceae	Unknown	Unknown	[631]	ASV631	f_Chaetosphaeriaceae [631]
ASV632	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Venturiales	f__Venturiaceae	Unknown	Unknown	[632]	ASV632	f_Venturiaceae [632]
ASV633	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Vibrisseaceae	g__Phialocephala	s__bamuru	[633]	ASV633	g_Phialocephala s  bamuru [633]
ASV634	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Melanommataceae	g__Herpotrichia	s__juniperi	[634]	ASV634	g_Herpotrichia s  juniperi [634]
ASV635	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Dothideomycetes_ord_Incertae_sedis	f__Dothideomycetes_fam_Incertae_sedis	g__Septonema	s__fasciculare	[635]	ASV635	g_Septonema s  fasciculare [635]
ASV636	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	Unknown	Unknown	Unknown	[636]	ASV636	o_Helotiales [636]
ASV637	k__Fungi	p__Rozellomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[637]	ASV637	p_Rozellomycota [637]
ASV638	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Thelephorales	f__Thelephoraceae	g__Tomentella	s__stuposa	[638]	ASV638	g_Tomentella s  stuposa [638]
ASV639	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Sebacinales	f__Serendipitaceae	Unknown	Unknown	[639]	ASV639	f_Serendipitaceae [639]
ASV640	k__Fungi	p__Rozellomycota	c__Rozellomycotina_cls_Incertae_sedis	o__GS11	Unknown	Unknown	Unknown	[640]	ASV640	o_Rozellomycotina GS11 [640]
ASV641	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	Unknown	Unknown	Unknown	[641]	ASV641	o_Helotiales [641]
ASV642	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Chlorociboria	Unknown	[642]	ASV642	g_Chlorociboria [642]
ASV643	k__Fungi	p__Rozellomycota	c__Rozellomycotina_cls_Incertae_sedis	o__GS11	Unknown	Unknown	Unknown	[643]	ASV643	o_Rozellomycotina GS11 [643]
ASV644	k__Fungi	p__Ascomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[644]	ASV644	p_Ascomycota [644]
ASV645	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	s__jensenii	[645]	ASV645	g_Penicillium s  jensenii [645]
ASV646	k__Fungi	p__Ascomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[646]	ASV646	p_Ascomycota [646]
ASV647	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Glomerellales	f__Plectosphaerellaceae	g__Plectosphaerella	s__niemeijerarum	[647]	ASV647	g_Plectosphaerella s  niemeijerarum [647]
ASV648	k__Fungi	p__Basidiomycota	c__Agaricostilbomycetes	o__Agaricostilbales	f__Chionosphaeraceae	Unknown	Unknown	[648]	ASV648	f_Chionosphaeraceae [648]
ASV649	k__Fungi	p__Ascomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[649]	ASV649	p_Ascomycota [649]
ASV650	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Phacidiales	f__Phacidiaceae	g__Gremmenia	s__infestans	[650]	ASV650	g_Gremmenia s  infestans [650]
ASV651	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Meliniomyces	Unknown	[651]	ASV651	g_Meliniomyces [651]
ASV652	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	g__Phaeosphaeria	s__tofieldiae	[652]	ASV652	g_Phaeosphaeria s  tofieldiae [652]
ASV653	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	Unknown	Unknown	Unknown	[653]	ASV653	o_Saccharomycetales [653]
ASV654	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymellaceae	g__Neoascochyta	s__desmazieri	[654]	ASV654	g_Neoascochyta s  desmazieri [654]
ASV655	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	Unknown	Unknown	[655]	ASV655	f_Herpotrichiellaceae [655]
ASV656	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Leotiaceae	g__Pezoloma	s__ericae	[656]	ASV656	g_Pezoloma s  ericae [656]
ASV657	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Sebacinales	f__Serendipitaceae	g__Serendipita	Unknown	[657]	ASV657	g_Serendipita [657]
ASV658	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	Unknown	Unknown	Unknown	[658]	ASV658	o_Helotiales [658]
ASV659	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Trechisporales	f__Hydnodontaceae	g__Trechispora	s__byssinella	[659]	ASV659	g_Trechispora s  byssinella [659]
ASV660	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	g__Hyaloscypha	Unknown	[660]	ASV660	g_Hyaloscypha [660]
ASV661	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Teratosphaeriaceae	g__Devriesia	Unknown	[661]	ASV661	g_Devriesia [661]
ASV662	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Melanommataceae	g__Herpotrichia	s__parasitica	[662]	ASV662	g_Herpotrichia s  parasitica [662]
ASV663	k__Fungi	p__Aphelidiomycota	c__Aphelidiomycetes	o__GS16	Unknown	Unknown	Unknown	[663]	ASV663	o_Aphelidiomycetes GS16 [663]
ASV664	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymellaceae	g__Didymella	Unknown	[664]	ASV664	g_Didymella [664]
ASV665	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	Unknown	Unknown	[665]	ASV665	f_Hyaloscyphaceae [665]
ASV666	k__Fungi	p__Basidiomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[666]	ASV666	p_Basidiomycota [666]
ASV667	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Cladophialophora	s__chaetospira	[667]	ASV667	g_Cladophialophora s  chaetospira [667]
ASV668	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Massarinaceae	g__Stagonospora	s__pseudocaricis	[668]	ASV668	g_Stagonospora s  pseudocaricis [668]
ASV669	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Trechisporales	f__Hydnodontaceae	g__Trechispora	Unknown	[669]	ASV669	g_Trechispora [669]
ASV670	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	g__Lachnellula	s__fuscosanguinea	[670]	ASV670	g_Lachnellula s  fuscosanguinea [670]
ASV671	k__Fungi	p__Ascomycota	c__Leotiomycetes	Unknown	Unknown	Unknown	Unknown	[671]	ASV671	c_Leotiomycetes [671]
ASV672	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	g__Paraphoma	s__radicina	[672]	ASV672	g_Paraphoma s  radicina [672]
ASV673	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	Unknown	[673]	ASV673	g_Mortierella [673]
ASV674	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Ophiocordycipitaceae	g__Tolypocladium	s__album	[674]	ASV674	g_Tolypocladium s  album [674]
ASV675	k__Fungi	p__Basidiomycota	c__Tremellomycetes	Unknown	Unknown	Unknown	Unknown	[675]	ASV675	c_Tremellomycetes [675]
ASV676	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Sclerotiniaceae	g__Botrytis	Unknown	[676]	ASV676	g_Botrytis [676]
ASV677	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Tetracladium	Unknown	[677]	ASV677	g_Tetracladium [677]
ASV678	k__Fungi	p__Rozellomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[678]	ASV678	p_Rozellomycota [678]
ASV679	k__Fungi	p__Ascomycota	c__Leotiomycetes	Unknown	Unknown	Unknown	Unknown	[679]	ASV679	c_Leotiomycetes [679]
ASV680	k__Fungi	p__Rozellomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[680]	ASV680	p_Rozellomycota [680]
ASV681	k__Fungi	p__Basidiomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[681]	ASV681	p_Basidiomycota [681]
ASV682	k__Fungi	p__Rozellomycota	c__Rozellomycotina_cls_Incertae_sedis	o__GS03	Unknown	Unknown	Unknown	[682]	ASV682	o_Rozellomycotina GS03 [682]
ASV683	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	Unknown	Unknown	Unknown	[683]	ASV683	o_Helotiales [683]
ASV684	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	Unknown	[684]	ASV684	g_Mortierella [684]
ASV685	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	Unknown	Unknown	Unknown	[685]	ASV685	o_Pleosporales [685]
ASV686	k__Fungi	p__Ascomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[686]	ASV686	p_Ascomycota [686]
ASV687	k__Fungi	p__Mortierellomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[687]	ASV687	p_Mortierellomycota [687]
ASV688	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Auriculariales	f__Auriculariales_fam_Incertae_sedis	g__Oliveonia	s__pauxilla	[688]	ASV688	g_Oliveonia s  pauxilla [688]
ASV689	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Cortinariaceae	g__Cortinarius	Unknown	[689]	ASV689	g_Cortinarius [689]
ASV690	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	Unknown	Unknown	Unknown	[690]	ASV690	o_Helotiales [690]
ASV691	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	Unknown	Unknown	Unknown	[691]	ASV691	o_Helotiales [691]
ASV692	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Atheliales	f__Pilodermataceae	g__Piloderma	Unknown	[692]	ASV692	g_Piloderma [692]
ASV693	k__Fungi	p__Glomeromycota	c__Archaeosporomycetes	o__Archaeosporales	Unknown	Unknown	Unknown	[693]	ASV693	o_Archaeosporales [693]
ASV694	k__Fungi	p__Ascomycota	c__Leotiomycetes	Unknown	Unknown	Unknown	Unknown	[694]	ASV694	c_Leotiomycetes [694]
ASV695	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__hyalina	[695]	ASV695	g_Mortierella s  hyalina [695]
ASV696	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Leucosporidiales	Unknown	Unknown	Unknown	[696]	ASV696	o_Leucosporidiales [696]
ASV697	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	Unknown	Unknown	Unknown	[697]	ASV697	o_Helotiales [697]
ASV698	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	Unknown	Unknown	Unknown	[698]	ASV698	o_Chaetothyriales [698]
ASV699	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Dermateaceae	g__Mollisia	s__lothariana	[699]	ASV699	g_Mollisia s  lothariana [699]
ASV700	k__Fungi	p__Basidiomycota	c__Cystobasidiomycetes	o__Erythrobasidiales	Unknown	Unknown	Unknown	[700]	ASV700	o_Erythrobasidiales [700]
ASV701	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Sporormiaceae	g__Preussia	s__tetramera	[701]	ASV701	g_Preussia s  tetramera [701]
ASV702	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	Unknown	Unknown	Unknown	[702]	ASV702	o_Chaetothyriales [702]
ASV703	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Atheliales	f__Tylosporaceae	g__Amphinema	s__byssoides	[703]	ASV703	g_Amphinema s  byssoides [703]
ASV704	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Clavariaceae	Unknown	Unknown	[704]	ASV704	f_Clavariaceae [704]
ASV705	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Kriegeriales	f__Kriegeriaceae	g__Yamadamyces	s__rosulatus	[705]	ASV705	g_Yamadamyces s  rosulatus [705]
ASV706	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Chaetosphaeriales	f__Chaetosphaeriaceae	g__Chaetosphaeria	s__vermicularioides	[706]	ASV706	g_Chaetosphaeria s  vermicularioides [706]
ASV707	k__Fungi	p__Ascomycota	c__Sordariomycetes	Unknown	Unknown	Unknown	Unknown	[707]	ASV707	c_Sordariomycetes [707]
ASV708	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Venturiales	f__Venturiaceae	Unknown	Unknown	[708]	ASV708	f_Venturiaceae [708]
ASV709	k__Fungi	p__Basidiomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[709]	ASV709	p_Basidiomycota [709]
ASV710	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Myxotrichaceae	g__Oidiodendron	Unknown	[710]	ASV710	g_Oidiodendron [710]
ASV711	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	Unknown	Unknown	Unknown	[711]	ASV711	o_Helotiales [711]
ASV712	k__Fungi	p__Ascomycota	c__Archaeorhizomycetes	o__Archaeorhizomycetales	f__Archaeorhizomycetaceae	g__Archaeorhizomyces	Unknown	[712]	ASV712	g_Archaeorhizomyces [712]
ASV713	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__pseudozygospora	[713]	ASV713	g_Mortierella s  pseudozygospora [713]
ASV714	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Sebacinales	f__Serendipitaceae	g__Serendipita	Unknown	[714]	ASV714	g_Serendipita [714]
ASV715	k__Fungi	p__Mortierellomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[715]	ASV715	p_Mortierellomycota [715]
ASV716	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Myxotrichaceae	g__Myxotrichum	s__cancellatum	[716]	ASV716	g_Myxotrichum s  cancellatum [716]
ASV717	k__Fungi	p__Ascomycota	c__Orbiliomycetes	o__Orbiliales	Unknown	Unknown	Unknown	[717]	ASV717	o_Orbiliales [717]
ASV718	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	Unknown	[718]	ASV718	g_Mortierella [718]
ASV719	k__Fungi	p__Blastocladiomycota	c__Blastocladiomycetes	o__Blastocladiales	Unknown	Unknown	Unknown	[719]	ASV719	o_Blastocladiales [719]
ASV720	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	Unknown	Unknown	Unknown	[720]	ASV720	o_Chaetothyriales [720]
ASV721	k__Fungi	p__Ascomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[721]	ASV721	p_Ascomycota [721]
ASV722	k__Fungi	p__Blastocladiomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[722]	ASV722	p_Blastocladiomycota [722]
ASV723	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__globulifera	[723]	ASV723	g_Mortierella s  globulifera [723]
ASV724	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Rhynchogastremataceae	g__Papiliotrema	s__laurentii	[724]	ASV724	g_Papiliotrema s  laurentii [724]
ASV725	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Clavariaceae	g__Clavulinopsis	s__laeticolor	[725]	ASV725	g_Clavulinopsis s  laeticolor [725]
ASV726	k__Fungi	p__Rozellomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[726]	ASV726	p_Rozellomycota [726]
ASV727	k__Fungi	p__Ascomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[727]	ASV727	p_Ascomycota [727]
ASV728	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Cortinariaceae	g__Cortinarius	s__gentilis	[728]	ASV728	g_Cortinarius s  gentilis [728]
ASV729	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Cantharellales	f__Cantharellales_fam_Incertae_sedis	g__Sistotrema	s__oblongisporum	[729]	ASV729	g_Sistotrema s  oblongisporum [729]
ASV730	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	Unknown	[730]	ASV730	g_Mortierella [730]
ASV731	k__Fungi	p__Rozellomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[731]	ASV731	p_Rozellomycota [731]
ASV732	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Mycosymbioces	Unknown	[732]	ASV732	g_Mycosymbioces [732]
ASV733	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreales_fam_Incertae_sedis	g__Acremonium	s__persicinum	[733]	ASV733	g_Acremonium s  persicinum [733]
ASV734	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Phacidiales	f__Phacidiaceae	g__Phacidium	s__pseudophacidioides	[734]	ASV734	g_Phacidium s  pseudophacidioides [734]
ASV735	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleribasidiaceae	g__Vishniacozyma	s__carnescens	[735]	ASV735	g_Vishniacozyma s  carnescens [735]
ASV736	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Myxotrichaceae	g__Oidiodendron	Unknown	[736]	ASV736	g_Oidiodendron [736]
ASV737	k__Fungi	p__Rozellomycota	Unknown	Unknown	Unknown	Unknown	Unknown	[737]	ASV737	p_Rozellomycota [737]
